stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,10.7,2.14,0,0,0,0,0,0,0,0,0,36.37,1.07,19.26,0,0,0,0,4.28,0,0,0,18.19,0,0,1.07,0,0,1.07,0,0,0
21Day,2.68,0,1.34,444.39,2.68,0,0,0,1.34,1.34,0,6.69,1.34,4.02,310.54,8.03,36.14,0,0,2.68,0,9.37,4.02,1.34,2.68,20.08,5.35,0,0,1.34,4.02,1.34,0,0,2.68
3Month,0,0.64,0.32,163.17,0.32,0.96,0,0.32,0.96,5.12,2.24,0.32,2.24,5.44,101.42,4.8,8.32,1.28,0,0,1.28,1.28,0,3.52,0.32,0,0.96,0.96,0,0,0,0,0.96,0.64,1.92
22Month,0,1.09,2.19,65.05,0,0,0.55,0.55,1.09,2.19,0.55,0,0.55,1.09,49.75,4.37,3.28,0,0.55,0.55,0,1.09,0,0.55,0,0,0,1.09,0,0,0,0,0.55,0,2.19
