stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,0,0,7.49,3.21,1.07,0,1.07,0,0,1.07,0
21Day,2.68,0,2.68,5.35,1.34,0,0,0,0,0,0,0,0,1.34,1.34,1.34,4.02,0,0,0,0,9.37,0,0,0,1.34,0,1.34,0,1.34
3Month,0,0.32,0,11.52,0,0.32,0.64,1.28,0,5.76,0.96,0.64,3.2,0.64,2.24,0.96,4.16,1.28,0,0.96,0.32,0,0.32,0.64,0.32,0,0,0,0,2.24
22Month,0,1.64,1.09,4.37,0,1.09,1.64,5.47,0.55,36.08,4.92,3.28,10.39,0,2.73,4.92,10.39,0.55,1.64,1.64,0,2.73,0,1.09,1.64,0,1.64,0,0,6.01
