stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,14.98,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,5.35,0,0,1.34,0,1.34,1.34,0,0,0,1.34,1.34,0,32.12,0,0,5.35,0,2.68,0
3Month,1.28,3.52,1.6,32.31,1.92,0.32,0.64,4.16,12.8,0.32,62.07,22.08,1.92,21.44,5.44,9.92,14.4,22.72,3.52,0,2.88,10.24,5.12,0.96,5.12,2.24,0,0,21.76,0.32,2942.25,3.2,0.64,0.96,10.24,1755.56,7.68
22Month,0,0,1.09,3.83,0.55,0,0,1.09,2.73,3.28,37.17,2.19,0,9.29,0.55,0.55,2.73,9.84,0,1.09,0,0,0,0,1.09,1.09,0.55,0.55,0,0,320.34,0,0,0,0,8.2,0
