stage,Epithelial_cell,Ionocyte,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,1.07,0,0
21Day,5.35,0,1.34,0,0
3Month,1.28,0.32,0,2.56,0.96
