stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,8.17,0,0,0,0,0,0,0,8.17,0,4.09,57.21,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,0,11.77,5.35,0,0
21Day,0,6.69,1.34,1.34,0,1.34,1.34,0,1.34,1.34,0,0,4.02,1.34,0
3Month,0,0.32,0,1.28,0.96,0,0.32,0,0.32,0.32,0.32,0,0,0,0.64
22Month,0,0.55,0,0.55,0,0,1.09,0.55,0,0,0,0,0,0,0
