stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,1.07,1.07,0,2.14,0,31.02,2.14,0,0,1.07
21Day,0,0,0,0,0,0,14.72,1.34,0,0,4.02
3Month,1.28,0,0,0,0.32,0.32,0,0,0.32,0,0
22Month,0,0,0,3.28,0,0,0,0,0.55,1.09,0
