stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,1.07,2.14,0,0,0,0,0,0,0,1.07,5.35,0,7.49,0,1.07,488.89,19.26,0,1.07,19.26,0,0,1.07,0,0,10.7,0,0
21Day,1.34,0,2.68,0,6.69,0,1.34,0,0,0,1.34,2.68,1.34,1.34,4.02,12.05,0,2.68,243.61,8.03,0,0,2.68,5.35,1.34,2.68,1.34,2.68,2.68,0,1.34
3Month,0,0,1.28,0.32,0,0.32,0,0.32,3.2,1.6,0,0.96,0,2.24,0,11.52,0,0.64,13.12,0.96,0.64,0.32,0,0,0.64,0.32,0,0,2.56,0.32,1.28
22Month,0.55,0.55,0.55,0,0,0,0,1.64,12.57,0.55,0.55,2.19,0,0,1.09,4.37,1.09,0,4.92,0.55,0,0.55,0,0,2.19,1.09,0,0,0.55,0,0
