stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,5.35,1.07,0,0,0,1.07,0,0,1.07,0,0,0
21Day,2.68,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,2.68,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0.32,0.32,1.6,7.36,0.32,0,0.32,0,1.92,2.56,0.32,109.1,2.24,0.64,10.88,3.2,2.56,2.88,2.88,0.96,1.92,0.96,1.92,1.6,0,0.32,0.32,0,0.32,1.6,0.64,0.32,1.92,1.28,1.28
22Month,0.55,4.37,2.19,7.11,0,0,0.55,0.55,1.09,2.19,3.28,89.65,3.28,0,16.4,1.09,0,4.92,4.92,0.55,4.92,2.73,0,0,0,0.55,0,0.55,0,0,0,0,0,0,1.09
