stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,65.38,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,5.35,1.07,6.42,0,1.07,10.7,2.14,0,3.21,0
21Day,1.34,1.34,0,2.68,1.34,0,0,0,2.68,1.34,4.02,0,0,1.34,2.68,0,1.34,0
3Month,0,0,0,0.64,0,0.96,0.32,0.32,0,0,0,0.64,0,0,0,0.32,0,2.88
22Month,0,0.55,1.09,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0
