stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,2.14,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0
21Day,1.34,0,16.06,1.34,1.34,1.34,0,1.34,0,0,8.03,0,1.34,9.37,4.02,18.74,0,2.68,1.34,0,2.68,0,0,17.4
3Month,0,0.32,1.6,0,0,0,0.32,0,0.96,0.32,0.32,0.64,0.32,1.92,0.64,81.91,0.64,0,0,0.64,2.56,0.32,0.32,12.48
22Month,0,0,0,0,0,0,0,0.55,3.28,0,0,0.55,0,1.09,1.09,31.16,0,0,0,0,2.19,0,0,3.28
