stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,44.95,20.43,0,114.42,0,0,0,0,0,0,0,0,0,12.26,4.09,4.09,122.59,0,0,32.69,494.45,0,0,0,0,0,0,0,0
72hpf,7.49,2.14,0,29.95,3.21,0,0,0,0,1.07,0,1.07,0,8.56,25.67,1.07,53.49,0,0,207.54,32.09,0,69.54,0,0,12.84,1.07,0,0
21Day,13.39,1.34,5.35,14.72,1.34,0,0,4.02,0,0,0,1.34,6.69,0,14.72,1.34,28.11,0,2.68,6.69,0,2.68,46.85,1.34,0,1.34,2.68,0,2.68
3Month,0.64,6.72,34.55,25.28,0,0.64,0.32,31.67,1.92,10.24,3.2,1.6,75.83,0.32,14.72,10.56,41.91,1.92,49.91,0.32,0,5.44,0,1.6,2.88,0,0,1.28,4.8
22Month,0.55,3.83,21.87,15.31,0,1.64,0,15.31,2.73,12.57,1.09,4.37,33.35,0,0.55,4.92,23.51,0,14.76,0,0,5.47,0,0,7.11,0.55,0,0,8.2
