stage,Enterocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,2.14,1.07,0,1.07,0,0
21Day,1.34,0,0,0,1.34,0,0,1.34,0,1.34,0
3Month,0,0.32,0.64,0.32,0.32,0,0,0,0,0.32,0
22Month,1.09,0,1.64,0,0,0,0,0,0,0,0.55
