stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,1.07,5.35,0,0
21Day,0,0,4.02,0,1.34,1.34,0
3Month,0,0.32,0,0,0,0,0.64
22Month,0.55,1.09,0,0,0,0,0
