stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,32.69,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,5.35,0,0,0,0
3Month,0.32,0.32,1.92,0.64,0.32,1.92,0,0.32,0.96,0.96,0.32,0,0.32,0,0,0.32,0,28.16,0.32,0.64,3.2,0.64
22Month,0,0.55,0,0.55,0,13.67,1.64,0,0.55,0,0,0.55,0,0.55,0,0,0.55,8.2,0,0,0,0
