stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,17.12,0,0,0,0,0
21Day,0,0,0,0,1.34,1.34,0,0,0,0,0,12.05,0,0,0,0,1.34
3Month,0.32,0,0.32,1.92,0,0,1.6,0.96,0.96,0.64,3.52,10.56,0.64,0,0,0.32,6.08
22Month,0,0.55,0,1.09,0,0,7.11,13.12,1.09,1.09,1.09,62.32,1.64,0.55,0.55,0,14.76
