stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,8.17,0,0,0,0,8.17,24.52,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,1.34,0,0,0,0,0,0,0,0,0,0,6.69,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,0
3Month,2.56,1.92,20.8,0.96,0.96,12.48,4.48,0.64,58.87,1.92,1.6,30.4,1.28,5.76,4.16,10.56,2.56,0,13.12,3.2,0,0,1.6,0.32,0.64,1.92,10.56,0,0,1.6,6.72,7.68
22Month,4.92,2.73,7.65,0.55,1.09,2.73,3.28,3.83,54.67,2.73,4.37,13.12,0,2.19,6.56,12.03,0,1.09,11.48,1.09,0,0,1.09,1.64,0.55,0,1.64,1.09,0,1.09,0,3.28
