stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,17.12,1.07,0,0,1.07,3.21,1.07
21Day,1.34,1.34,1.34,0,0,0,0,0,1.34,0,0,2.68,10.71,0,1.34,0,1.34,16.06,0
3Month,1.28,0,0,0.32,0,0.64,0.32,0.96,0,0.64,0.32,0,0,0,4.16,0,0,0,0
22Month,1.09,0,0,0,0.55,3.28,0,0,0,0,0,0,0,0,1.64,0.55,0,0,0
