stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,4.28,0,1.07,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,2.68,1.34,1.34,0,0,0,0
3Month,0,2.56,0.64,8.96,0.96,0.32,0,1.92,0.32,2.56,0.96,3.84,0.96,3.2,1.28,0,0.64,0.96,1.28,0,1.28,0.32,0.32,25.6,0.32,1.6,6.4,1.28
22Month,0,1.09,0,4.37,0,0,2.73,5.47,0,2.19,0.55,0,0,0.55,0,0.55,0,0,0.55,0,0.55,0.55,0,0.55,0.55,0,0,0.55
