stage,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Muscle_cell,Primordial_germ_cell,Spermatocyte
3Month,0,0.32,0.32,0.32,0,0.32,0.32
22Month,0.55,1.09,0,0.55,0.55,0,0
