stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,0,20.43,0,0,0,351.43,0,0,0,0
72hpf,3.21,1.07,1.07,1.07,0,1.07,0,0,0,0,0,0,3.21,0,0,9.63,73.82,2.14,0,1.07,0
21Day,5.35,2.68,6.69,14.72,5.35,0,0,2.68,14.72,1.34,1.34,2.68,6.69,0,2.68,6.69,44.17,1.34,2.68,0,4.02
3Month,0,0,0.32,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0.32,0,0,1.6,0
22Month,0,0,0,0,0,0.55,1.64,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
