stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,0,0,1.07,2.14,0,0,0,0,0,0,0,0
21Day,2.68,0,0,2.68,2.68,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,0,2.68,1.34,0,0,0,0,0
3Month,0,0.64,0.64,5.12,0,0.32,0,1.28,0,4.8,1.28,0.32,0,0.96,1.6,2.88,0.32,0.32,0.32,0,0.32,0.32,4.16,0,0.32,0.96,0.64,2.56
22Month,0,0.55,1.09,2.73,0,0,0.55,7.65,1.09,25.69,2.73,2.19,2.73,0.55,4.37,4.37,0,0.55,0,0,0,0.55,0,1.09,0,0,0,2.73
