stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,8.03
3Month,6.72,0.64,2.88,16.32,2.88,4.8,0,0.32,0.64,1.28,1.28,0.64,0.32,0.64,0.96,1.28,0.96,26.24
22Month,0.55,0,0,0,2.19,0,0,1.64,0,0,0,0,0,0,1.64,0,0,0.55
