stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,2.14,0,1.07,0,1.07,0,0,0,0
21Day,1.34,0,0,2.68,0,1.34,0,0,0,0,0,5.35,0,0,6.69,8.03,0,0,0,2.68,1.34,0,0,0,0,0,0,0,0
3Month,0,0.64,0.32,3.84,0,0,1.28,0.64,0,3.2,0,0.32,2.88,1.28,1.6,1.28,0.64,0.64,0.64,0,0,0,0,0.32,0.32,0,0.32,0.96,2.88
22Month,0,0.55,0,6.01,0,0,0,4.92,3.28,15.85,1.09,3.28,5.47,0.55,6.01,3.28,0,0,0,0.55,0,1.09,0,0,1.09,0.55,1.09,0,2.19
