stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,8.17,0,0,0,0,4.09,0,16.35,0,8.17,179.8,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,3.21,2.14,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,8.56,25.67,0,0,3.21,0,0,1.07,0,0,0,0
21Day,0,4.02,5.35,0,5.35,0,0,0,0,1.34,0,0,0,0,1.34,0,0,16.06,0,0,4.02,0,0,0,1.34,1.34,0,0
3Month,0,1.92,0,0,0.32,1.28,0,0,4.48,0,0.64,0,0,0.64,0.32,0.32,0,0.64,0.32,0.32,0,0.32,4.8,0,0,0,0.32,0.32
22Month,0,0,0,1.09,0,2.19,0.55,0,0.55,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0
