stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0
3Month,3.52,0.32,0.64,1.92,0.64,0,0.32,2.24,0.96,0.32,0.32,0.64,0,0.32,0.32,0,0,0.96,0.32,0.32
22Month,0.55,0,0,8.75,0,0.55,0.55,0,0,0.55,0,0,0.55,0,0,0,0,0.55,0,0
