stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,57.21,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,5.35,0,2.14,0,0,0,0,0,9.63,0,0,11.77,1.07,0,0,0,0,0,2.14,1.07,0,0,0,2.14,0,0,0,0,0,0,0,1.07
21Day,0,1.34,0,145.9,0,62.91,0,8.03,0,0,0,1.34,5.35,81.65,1.34,2.68,46.85,28.11,4.02,0,0,1.34,0,6.69,0,0,1.34,0,4.02,9.37,0,0,0,2.68,0,0,97.71
3Month,0.64,2.88,1.92,422.97,0.32,0,3.84,0.64,3.84,13.76,0,20.8,40.63,47.03,16.96,5.12,188.45,139.82,13.76,2.56,0,2.24,4.48,2.24,0.32,3.2,0.32,0,0.96,8.96,0.32,9.92,0.32,0,5.44,5.44,522.16
22Month,0.55,4.37,1.64,96.76,0,0,2.73,2.73,0.55,20.77,2.73,59.59,43.19,41,4.92,1.09,61.23,79.81,8.75,0,1.09,1.09,0,0.55,0.55,1.09,1.09,0.55,0,1.09,0,17.49,1.09,0,0.55,0,159.08
