stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Muscle_cell
21Day,0,1.34,1.34,0,0,0
3Month,0.32,1.6,0,0.32,0.64,8
22Month,0,0,0,0,0,4.37
