stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,2.14,0,0,3.21
21Day,0,0,1.34,0,1.34,0,2.68,0,6.69
22Month,0.55,0.55,13.67,0.55,0,0,0,0.55,0
