stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,3.21,1.07,0,0,0,0,1.07,0,0,0,5.35,3.21,0,25.67,0,6.42,95.21,6.42,5.35,6.42,17.12,0,0,6.42,0,0,0
21Day,1.34,0,0,5.35,0,2.68,0,0,0,0,0,0,0,0,0,0,32.12,0,42.83,32.12,1.34,0,0,8.03,1.34,0,0,0,0,0
3Month,0,0.96,0.32,9.28,0,0,0.96,0.32,1.28,3.2,7.04,1.28,3.2,1.92,3.84,1.6,17.6,1.92,2.24,1.28,0.64,4.16,6.72,1.6,0.96,54.71,1.28,0,11.2,1.6
22Month,0,0.55,0.55,3.83,0,0,0,0,0,0,15.31,0,0.55,0,1.64,1.64,7.65,0,0,0,0.55,2.19,1.09,0,0,12.57,0.55,0.55,0,0
