stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
21Day,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,1.34,0,0,0
3Month,0,0,1.92,0,0.32,0,3.52,0,0.32,0.64,0,0.64,0.32,0.32,0,0.96,0.32,0.32
22Month,0.55,0.55,0.55,0.55,0,1.09,14.76,1.09,0,0,1.09,1.64,0,0,0,0,0.55,1.09
