stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,32.69,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0
3Month,0,0.64,0.32,0.96,0.96,1.28,0.64,0.32,9.28,0.32,0.32,0,0.32,0.32,7.36
22Month,0,0.55,0.55,9.84,2.73,0,1.09,0,17.49,1.09,0,0,0,0,3.83
