stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Spermatocyte,T_cell
3Month,1.28,3.2,0.32,1.6,111.98,0.32,3.84,0.32,1.28,0.64,1.28,0.32,0.32,0.32,0.32,2.88,1.28,0.64
22Month,0.55,1.64,0,1.64,48.11,0,8.75,0,1.09,0.55,1.09,1.64,1.09,0,0,0,0,0.55
