stage,Endothelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,26.74,0,0,0,1.07,0,0,0,0,0
21Day,0,1.34,5.35,0,0,0,0,0,1.34,153.93,0,0,1.34,0,0,2.68,0,0,0
3Month,0,0,0,0.32,0.32,1.92,0.32,0.32,0,53.75,0,0.96,0.32,0,0.32,0,0.64,0.32,0.64
22Month,0.55,0,0,0,0,3.28,0,0.55,0,26.79,0.55,0.55,0.55,0,0,0,0,0,0.55
