stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0,1.34,13.39,0,1.34,1.34,0,0,0
3Month,0.96,0,0.32,0,0.32,0.32,0,0,0,0.32,0,0,0,0
22Month,5.47,0.55,0.55,2.19,0,0,0,2.19,0.55,12.57,0,0.55,1.09,0.55
