stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,11.77,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,9.37,1.34,0,0,0,1.34,0,2.68,0,1.34,0,0,2.68,2.68,0,1.34
3Month,0,0.32,6.72,0,0.32,1.92,0.32,1.92,0.64,0.64,4.8,0,0.32,0.32,0,0,0.32,0.96
22Month,0,0,1.09,0,1.64,1.09,1.09,2.19,0,0,0,0.55,0,0,0,0,0,0
