stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,3.21,4.28,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,8.03,0,0,0,9.37,0,0,0,1.34,2.68,0,0,0,1.34,0,0,0,0,0,0
3Month,0.64,0.64,11.2,10.56,0.32,0.32,0,2.56,11.2,4.48,0.32,89.59,0,1.28,2.24,8.96,5.44,0.32,0.64,533.04,0.32,0,1.6,2.88,1.6,1.6,0.32,0.32,0.96,1.6,2.24
22Month,0,0,1.09,3.28,0.55,0,2.19,1.64,8.2,0.55,0.55,19.13,0,0,0.55,1.64,0,0.55,1.64,19.68,0,0,0,1.09,0,0,0,0,0,0,0.55
