stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,7.49,8.56,2.14,0,0,0,5.35,2.14,0,0,26.74,0,0,0,0,0,0,0
21Day,4.02,2.68,0,2.68,0,0,0,1.34,0,0,0,0,0,0,9.37,2.68,21.42,0,0,18.74,0,1.34,0,0,13.39,4.02,0,0,1.34,0,0,0
3Month,0.64,9.92,0,5.76,0.32,0.32,0.64,2.88,8.96,5.76,2.56,0,31.04,0.96,4.48,7.36,119.98,8.96,0,62.39,0.64,0,0.64,0,14.72,0.32,6.72,0.32,0,0.64,64.95,0.96
22Month,0.55,8.75,4.37,4.92,2.73,0,2.73,8.75,13.67,30.07,5.47,0.55,191.88,0,0.55,7.65,237.79,1.09,1.09,50.29,0,0,0.55,0.55,2.19,0,4.37,0,0,0.55,1.09,0
