stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,8.56,0,4.28,0,0,0,4.28,6.42,0,0,7.49,1.07,0,4.28,2.14,0,0,0
21Day,1.34,1.34,1.34,4.02,1.34,0,0,0,0,0,1.34,0,0,0,10.71,1.34,1.34,0,17.4,0,1.34,0,4.02,1.34,0,0,1.34,1.34,0,4.02,1.34,0,0,0
3Month,0.32,3.52,1.28,19.2,0.32,0.64,0.32,0.32,3.52,2.88,0.32,9.6,1.6,1.28,48.63,2.24,7.04,2.56,28.8,7.04,2.56,28.16,3.52,0.32,1.28,0,0.32,1.28,33.59,2.88,0.32,4.48,39.99,0.64
22Month,0,4.92,1.09,10.39,0,1.09,0,0.55,2.19,3.28,3.83,39.36,1.09,1.09,53.57,0,0,2.19,22.41,1.09,1.64,0.55,1.09,0,0.55,0.55,0.55,0,9.29,2.73,0,0,0,0.55
