stage,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,0,0,0,4.09,0
72hpf,0,0,1.07,0,0
21Day,0,0,1.34,4.02,0
3Month,0.32,0.32,0,0,0.32
