stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,4.09,0,0,0,0,0,0,0
72hpf,34.23,0,24.61,0,2.14,0,0,0,0,0,0,0,2.14,46,0,20.33,0,3.21,1.07,191.49,6.42,1.07,21.4,0,0,2.14,0,0,7.49,0
21Day,54.88,0,18.74,4.02,6.69,0,0,0,0,0,1.34,2.68,0,60.23,2.68,192.75,0,25.43,0,132.51,9.37,0,29.45,13.39,0,8.03,1.34,2.68,6.69,2.68
3Month,1.92,0.32,4.48,0,0,0.32,0.32,0,1.92,0.32,0,0.32,0.32,15.36,0,5.44,0.64,0,0.64,0,0.32,0.32,0.32,0,0.96,0.32,0,0,0.32,0
22Month,2.19,0,1.64,0,0,0,0,1.09,6.01,0,0.55,0.55,0,2.19,1.09,3.28,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0
