stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,4.09,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,41.72,1.07,0,0,0
21Day,1.34,1.34,4.02,0,1.34,0,2.68,12.05,0,0,1.34,0
3Month,0,0,0,1.92,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,0.55,0.55,0,0,0.55,0,0
