stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,1.34,0,2.68,0,5.35,0,0,2.68,68.27,2.68,0,1.34,0,0,2.68,0,1.34
3Month,0,0,0.32,2.24,0,0.32,1.28,0.64,0,0.32,0.96,0,1.92,0.32,0,0.32,1.92,0,0,0.32,0.96,0,0,0,0
22Month,0,0.55,0,0.55,0,0,14.21,0.55,0.55,2.73,0,0.55,1.64,0,1.64,0.55,2.73,0,0.55,0,4.37,1.09,0,0.55,0
