stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,77.64,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,3.21,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,4.28,0,166.89,25.67,0,1.07,39.58,0,0,4.28,1.07,0,0,0
21Day,0,0,2.68,2.68,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,9.37,0,0,5.35,0,53.54,9.37,0,1.34,41.49,2.68,1.34,5.35,1.34,0,0,0
3Month,3.52,0.96,14.4,0.96,0,0.32,0.32,1.28,4.16,0.96,0,8.96,1.6,0.64,4.16,1.6,4.16,3.52,22.08,2.56,0,1.92,6.08,3.2,0.64,3.2,0.32,7.36,0,26.24,1.28,3.52,0.32,24.64,2.24
22Month,7.65,2.19,9.29,0.55,0,0.55,0,0,1.64,1.64,3.83,68.88,1.09,2.19,29.52,1.64,0,3.28,20.23,0.55,1.09,1.09,4.37,4.92,0,2.73,1.09,4.92,0,15.31,2.19,0,0,0,1.64
