stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34
3Month,0,0.32,0.32,1.6,0,0.32,0.64,0.96,0,0,0,0.64,0,0,0.32,0,0.32,0.32
22Month,0.55,1.09,1.64,8.2,0.55,0.55,0,0.55,0.55,2.19,0.55,0,0.55,0,0,0,0.55,0
