stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,8.17,147.11,0,4.09,0,0,0,0,0,0,0
72hpf,5.35,2.14,0,8.56,4.28,1.07,0,0,0,0,0,0,0,0,3.21,5.35,0,43.86,0,2.14,0,8.56,52.42,0,34.23,1.07,0,9.63,0,0,0,0
21Day,2.68,0,0,10.71,1.34,5.35,0,0,0,0,0,0,4.02,0,0,2.68,1.34,38.82,0,8.03,0,4.02,13.39,0,16.06,1.34,1.34,5.35,1.34,1.34,0,0
3Month,0,0.32,0,3.84,0,0,0.32,0.32,0.64,0,7.68,0.32,0.64,2.24,0,4.16,0.32,3.52,1.92,0,0.64,0,0.64,0,0.32,0.64,8.32,0,0,2.56,30.72,0.32
22Month,0,0.55,0.55,5.47,0,0,0,0,0,0.55,25.69,0,1.09,0.55,0,1.64,1.64,12.57,0,0,0,0,0,0.55,0,0,4.37,0.55,0,2.19,0,1.64
