stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,19.26,1.07,0,0,0,0,0,0,0,4.28,0,0,2.14,0,0,4.28,4.28,10.7,0,6.42,0,1.07,4.28,0,2.14,0,0,0
21Day,1.34,0,1.34,14.72,0,1.34,0,0,0,0,4.02,4.02,0,0,0,4.02,0,0,0,1.34,2.68,0,0,1.34,13.39,1.34,0,0,0,0,0
3Month,0,0.32,0,29.12,0,0,0.32,1.28,2.24,0.96,0,1.6,2.24,0.96,0.32,0.96,0.32,0.32,0.64,0,0,0,0,0.32,12.16,0,0.32,0,0.64,4.16,0.32
22Month,0.55,0,1.64,25.15,0,0,0,0.55,8.2,0,0,6.56,0.55,0,1.64,0.55,0,0.55,0,0,0,1.09,0,0.55,45.37,0,0,0,0,0,0
