stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,0,20.43,8.17,0,0,0,8.17,0,0,4.09,0,0,12.26,0,216.58,0,0,0,0,57.21,1699.94,0,24.52,0,0,0,0,4.09,0,0,0
72hpf,6.42,4.28,0,7.49,5.35,2.14,0,0,0,0,0,1.07,0,1.07,13.91,0,74.89,0,0,0,0,52.42,55.63,0,59.91,0,0,18.19,0,3.21,0,0,0
21Day,4.02,0,1.34,16.06,1.34,1.34,0,0,0,0,0,1.34,0,0,4.02,0,68.27,0,0,2.68,0,9.37,29.45,0,29.45,2.68,0,12.05,1.34,0,0,0,1.34
3Month,0,0.96,0.32,4.8,0,0,0.32,0.96,0,4.8,1.6,0,1.92,0.64,1.28,1.28,18.56,11.52,0,1.92,0.32,1.28,0.96,0.32,0.64,1.6,76.79,0.32,0,0,56.95,4.8,2.24
22Month,0,0.55,0,3.28,0.55,0,0.55,0.55,0,8.75,0,0.55,1.64,0,0,0,7.65,1.64,0.55,0.55,0.55,0.55,0,0,0.55,0,24.05,0,0,0,8.2,0,1.09
