stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,0,0,0,0,0,0,0,0,0,0,1.07,5.35,11.77,1.07,0,0,1.07,4.28,5.35,0,0,3.21,0,0,0,0,1.07,0,0,0
21Day,1.34,0,1.34,5.35,2.68,0,1.34,0,2.68,0,0,0,16.06,2.68,0,0,16.06,1.34,0,2.68,0,1.34,1.34,0,0,0,1.34,0,0,2.68,0,0,0,10.71
3Month,0,0.32,1.92,13.44,0,0.64,0,4.8,11.84,0,7.36,21.12,0.32,51.19,0.96,3.2,17.92,3.2,0,0,0.64,0.32,0,0.64,0,0,0.96,8.96,0,0,0,0.32,3.84,21.76
22Month,0,1.09,1.09,3.28,0,0,1.09,1.64,19.13,1.09,13.67,8.75,1.64,56.31,1.09,1.09,21.87,2.73,1.09,0,0,0.55,0,0,0.55,0,0.55,1.09,1.64,0,0,0.55,0,7.65
