stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,118.51,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,4.28,1.07,0,0,1.07,0,0,119.82,32.09,0,2.14,0,0,2.14,1.07,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,41.49,14.72,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0.32,0.96,0,0.32,0,0.64,0.32,14.4,0.64,0.32,1.6,0,0.64,0,0.96,0.32,0.32,0,0.32,0,0,0,0.32,0.64,0,0,0.64,0.32,0.64
22Month,0.55,0.55,0,2.73,0,0.55,0.55,1.09,1.09,39.36,0.55,0,0.55,0,0,1.09,2.19,2.73,0,0.55,0,0,0.55,0,0,0,0,0,0,0,1.09
