stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,1.92,0.32,0,12.8,0.64,0,2.56,0.64,0.32,0.32,0.64,0,1.6,0,0,0,0.64,0.32,0
22Month,0,0,1.64,0,0.55,11.48,0.55,0.55,0.55,1.09,1.09,1.09,0,0.55,0,0.55,80.36,0.55,0,0.55,0.55
