stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,4.09,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,6.42,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,12.84,0,4.28,0,0,0,2.14,7.49,0,0,3.21,0,0,2.14,0,0,0
21Day,5.35,0,0,30.79,0,0,0,0,0,2.68,0,0,0,8.03,1.34,2.68,12.05,6.69,22.76,0,0,2.68,8.03,6.69,0,0,12.05,1.34,0,0,1.34,0,2.68
3Month,0,0.32,0,0.96,0,0,0,0,0,0.64,0,0.96,1.6,0,0.96,0,0.32,0.96,0,0,0,4.48,0,0,0,0,0,0.96,1.6,0,0,2.88,0.64
22Month,0,9.29,1.64,13.12,0,0,0.55,0.55,0.55,9.84,3.28,43.19,7.11,4.37,3.83,0.55,1.09,3.28,11.48,0.55,0.55,17.49,0,1.09,4.37,182.04,0,0,3.28,0,0,0,3.28
