stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,18.19,8.56,0,8.56,0,0,3.21,0,0,0
21Day,2.68,0,2.68,5.35,0,1.34,0,0,0,0,1.34,0,0,1.34,0,1.34,1.34,0,9.37,1.34,1.34,2.68,1.34,0,0,0,0,4.02
3Month,0,0.32,0.96,0,0,0,0.64,0.64,1.92,0.32,0.32,0.64,0.32,1.28,0.64,0.64,0.32,0.32,0,0,0,0,0,0.32,0,0.64,0.64,1.6
22Month,0,0.55,0,0,0.55,0,0.55,0.55,6.56,0,0,2.19,0,0.55,0.55,0,0,0,1.09,0,0,0,0,0.55,0,0,0,0
