stage,Cardiomyocyte,Epithelial_cell,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,1.07,0,0,0,8.56,0,0
21Day,1.34,0,0,1.34,0,6.69,1.34,0
22Month,0,0,0.55,0,0.55,0,0,0.55
