stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,0,0,17.12,0,1.07,3.21,0,0,0
21Day,10.71,0,0,0,0,0,0,6.69,0,0,0,0,0,0
3Month,14.4,0.64,0,0.32,0.32,0,0.32,0.64,0.64,0.32,0,0,0.96,2.88
22Month,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0
