stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,12.26,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,10.7,1.07,0,0,0,0,0,0,0,0,0,1.07,20.33,0,1.07,0,1.07,6.42,1.07,2.14,0,0,1.07,0,0,0
21Day,1.34,0,0,76.3,0,2.68,0,0,0,0,0,0,0,2.68,2.68,28.11,1.34,10.71,0,0,8.03,4.02,1.34,4.02,0,1.34,1.34,0,2.68
3Month,0,0.32,0,4.16,0,0,0.32,0.32,0,0,2.56,0,0,1.28,0,2.24,0.64,0.96,0,0,0,0,0,0.32,0.64,0,0,0.32,0.96
22Month,0,0,0.55,1.09,0,0,0,0.55,0.55,0.55,11.48,0.55,0.55,2.73,0,0.55,1.64,2.19,0.55,0,0,0,0,0,0,0,0,0,0.55
