stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0
3Month,10.56,0.32,0.64,0,2.56,0.64,0,0.32,3.84,0.32,0.64,0.64,0.32,0.32,0.64,6.72,0,0.64,1.28,9.92,0,1.28,101.74,0.64
22Month,1.64,0,0.55,0.55,6.56,0,0.55,0,0,0,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,0
