stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,2.14,0,2.14,0,1.07,0,0
21Day,0,1.34,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0,0
3Month,0,1.6,0.32,0.64,0,3.84,0.64,0,5.76,0,0.32,0.32,0,0,0,0.32,0,0,0,0,0,0.32,0.32
22Month,0.55,2.73,0,1.09,0.55,14.76,0.55,0.55,16.95,0,1.09,0,0,0.55,0.55,0,0,2.19,0,0.55,0,0,1.09
