stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,28.6,0,0,0,0,0,0,0,0,16.35,0,0,16.35,0,0,0,4.09,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,8.56,0,0,0,0,0,6.42,1.07,0,1.07,0,0,0,0
21Day,0,0,9.37,0,0,0,0,0,0,0,0,0,5.35,0,1.34,0,0,0,2.68,1.34,0,0,0,0,0,0
3Month,0.64,0,9.92,0.32,0,0,1.28,0.96,2.56,1.92,0.96,0.64,6.72,1.6,1.92,0.32,1.28,0.32,0.64,0,0.32,0.64,0.64,8.32,0.32,6.72
22Month,7.11,0.55,11.48,0,0,0.55,1.09,0,13.12,0.55,0.55,0.55,3.83,1.64,3.28,0.55,0.55,0,1.64,0,0.55,0.55,0,4.37,0,0
