stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,40.86,4.09,0,0,4.09,0,0
72hpf,0,2.14,0,0,0,0,0,4.28,0,0,0,1.07,2.14,3.21,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,4.02,0,1.34,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,6.72,0.32,0.32,2.24,0.64,4.16,0.64,0.32,0,0,0,0,0,0,0.32,1.92,0,11.2,0.32
22Month,0,0,0,0,1.64,0.55,0.55,0.55,0,0,0.55,0,0,0,0,0,0.55,0,0,0
