stage,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,8.17,0,20.43,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,4.28,1.07,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0
3Month,0,0.32,0,0,0,0,0,0.32,0,0.32
