stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,6.42,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,6.69,4.02,0,0,0,0,2.68,1.34,0,0,0
3Month,0,0.64,4.48,0.32,0.32,1.28,0.64,2.88,0.32,0.32,1.28,0.64,0.96,0.64,0,0.32,0,0.64,3.2,0,1.28,0.32,0,9.92,0,0,0,64.31,0.64
22Month,0,0,1.64,0,0,0,0.55,6.01,0.55,0,0.55,0,0,0,1.64,0,0.55,0,0,0,0,0,0,3.83,0,0,0,0,0.55
