stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,8.17,4.09,0,12.26,0
72hpf,2.14,0,0,0,0
21Day,0,0,2.68,0,1.34
