stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,9.63,3.21,2.14,0,0,0,0,0
21Day,0,2.68,2.68,1.34,0,0,0,0,1.34,0,0,1.34,0,1.34,0,2.68,0,0,0,0,0,0,0
3Month,0,1.6,0,0,0.32,0.64,0.96,0.64,0,0.32,0.32,0.64,0.64,0.32,0.64,0,0,0,0.32,0.32,0.64,0.32,0.32
22Month,0.55,0,0,0,0,0.55,3.83,0,0,0.55,0,0,0,0,0,0,0,0,1.64,0,0,0,0
