stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,3.21,0,2.14,0,0
21Day,1.34,1.34,1.34,0,0,0,0,4.02,0,0,0,0
3Month,2.88,0,0,0.96,0.96,0.64,2.24,0.32,0.32,0,0.32,0.32
22Month,0,0,0,0,0.55,0.55,0,0,0,0,0,0
